,title,location,price,area,rooms
184,                        Apartment Commelinstraat                            ,            1093 TH Amsterdam (Dapperbuurt)        ,"                €2,050 per month            ",70 m²,2 rooms
185,                        Apartment Omval                            ,            1096 HR Amsterdam (Omval/Overamstel)        ,"                €2,150 per month            ",100 m²,3 rooms
186,                        Apartment Minervaplein                            ,            1077 TR Amsterdam (Apollobuurt)        ,"                €2,850 per month            ",111 m²,3 rooms
187,                        Apartment Haparandaweg                            ,            1013 BD Amsterdam (Houthavens)        ,"                €2,495 per month            ",95 m²,4 rooms
188,                        Apartment Frans Halsstraat 69 2                            ,            1072 BN Amsterdam (Oude Pijp)        ,"                €1,725 per month            ",36 m²,2 rooms
189,                        Apartment Beemsterstraat 492                            ,            1024 BS Amsterdam (Waterlandpleinbuurt)        ,"                €1,750 per month            ",74 m²,4 rooms
190,                        Apartment Brouwersgracht 96 H                            ,            1013 GZ Amsterdam (Grachtengordel-West)        ,"                €3,600 per month            ",104 m²,5 rooms
191,                        House Lijnbaansstraat                            ,            1016 ST Amsterdam (Jordaan)        ,"                €4,500 per month            ",175 m²,5 rooms
192,                        Apartment Herengracht                            ,            1017 CD Amsterdam (Grachtengordel-Zuid)        ,"                €5,650 per month            ",125 m²,3 rooms
193,                        House Jaagpad 31                            ,            1059 BP Amsterdam (Hoofddorppleinbuurt)        ,"                €5,000 per month            ",200 m²,6 rooms
194,                        Apartment Lodewijk van Deysselstraat                            ,            1067 CJ Amsterdam (Geuzenveld)        ,"                €1,056 per month            ",83 m²,3 rooms
195,                        House Valeriusplein                            ,            1075 BJ Amsterdam (Willemspark)        ,"                €8,000 per month            ",366 m²,6 rooms
196,                        Apartment Da Costakade 31 hs                            ,            1052 SG Amsterdam (Da Costabuurt)        ,"                €2,500 per month            ",81 m²,3 rooms
197,                        Apartment Nicolaas Witsenkade                            ,            1017 ZS Amsterdam (De Weteringschans)        ,"                €7,950 per month            ",200 m²,6 rooms
198,                        Apartment Milovan Djilasplein                            ,"            1102 JZ Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,500 per month            ",79 m²,3 rooms
199,                        Apartment Minervaplein                            ,            1077 TR Amsterdam (Apollobuurt)        ,"                €2,850 per month            ",111 m²,3 rooms
200,                        Apartment Korte Geuzenstraat                            ,            1056 KZ Amsterdam (Geuzenbuurt)        ,"                €1,275 per month            ",31 m²,2 rooms
201,                        House Bongerdkade                            ,            1036 LZ Amsterdam (Tuindorp Oostzaan)        ,"                €3,100 per month            ",150 m²,5 rooms
202,                        Apartment Biesboschstraat 32 1                            ,            1078 MT Amsterdam (Scheldebuurt)        ,"                €2,200 per month            ",81 m²,3 rooms
203,                        Apartment Het Breed                            ,            1025 JC Amsterdam (Buikslotermeer)        ,"                €3,000 per month            ",60 m²,3 rooms
204,                        House Veenbesstraat 2                            ,            1036 LP Amsterdam (Tuindorp Oostzaan)        ,"                €2,950 per month            ",130 m²,5 rooms
205,                        Apartment Noorderdwarsstraat 8                            ,            1017 TX Amsterdam (De Weteringschans)        ,"                €2,750 per month            ",85 m²,3 rooms
206,                        Apartment Prinsengracht                            ,            1015 DR Amsterdam (Grachtengordel-West)        ,"                €3,750 per month            ",104 m²,3 rooms
207,                        Apartment Raadhuisstraat                            ,            1016 DE Amsterdam (Grachtengordel-West)        ,"                €2,150 per month            ",70 m²,4 rooms
208,                        Apartment Kikkenstein 3734                            ,"            1104 TW Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,550 per month            ",94 m²,4 rooms
